Survived,Pclass,Age,SibSp,Parch,Fare
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
0,3,22,1,0,7.25
1,1,38,1,0,71.2833
1,3,26,0,0,7.925
1,1,35,1,0,53.1
0,3,35,0,0,8.05
0,1,54,0,0,51.8625
0,3,2,3,1,21.075
1,3,27,0,2,11.1333
1,2,14,1,0,30.0708
1,3,4,1,1,16.7
1,1,58,0,0,26.55
0,3,20,0,0,8.05
